#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-08-08T10:07:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53e4a0d167e0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/70A/catalog
#-nav=cat:V/70A&tab:{V/70A/catalog}&key:source=V/70A&HTTPPRM:&&-ref=VIZ53e4a0d167e0&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=RAB1950&-out=DEB1950&-out=pm&-out=pmPA&-out=RV&-out=Sp&-out=Vmag&-out=B-V&-out=trplx&-out=plx&-out=Mv&-out=OtherName&-out=Remarks&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/70A/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/70A/catalog
#-order=I
#-out=Name
#-out=RAB1950
#-out=DEB1950
#-out=pm
#-out=pmPA
#-out=RV
#-out=Sp
#-out=Vmag
#-out=B-V
#-out=trplx
#-out=plx
#-out=Mv
#-out=OtherName
#-out=Remarks
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_5070
#Name: V/70A
#Title: Nearby Stars, Preliminary 3rd Version (Gliese+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	V_70A_catalog:
#Name: V/70A/catalog
#Title: The Catalogue
#Column	Name	(A8)	Identifier ; see remarks.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A8)	? Right Ascension B1950	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A8)	? Declination B1950	[ucd=pos.eq.dec;meta.main]
#Column	pm	(F6.3)	? Total proper motion	[ucd=pos.pm]
#Column	pmPA	(F5.1)	? Direction angle of proper motion	[ucd=pos.pm;pos.posAng]
#Column	RV	(F6.1)	? Radial velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Sp	(a12)	Spectral type or color class	[ucd=src.spType]
#Column	Vmag	(F6.2)	Apparent magnitude	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? color	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	trplx	(F6.1)	? Trigonometric parallax	[ucd=pos.parallax.trig]
#Column	plx	(F6.1)	? Resulting parallax	[ucd=pos.parallax.trig]
#Column	Mv	(F5.2)	Absolute visual magnitude	[ucd=phys.magAbs]
#Column	OtherName	(A5)	Other designations	[ucd=meta.id]
#Column	Remarks	(a69)	Additional identifications (LTT, LFT, Wolf, Ross, etc.) and remarks	[ucd=meta.note]
#Column	_RA.icrs	(A8)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A8)	Declination (ICRS) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
Name|RAB1950|DEB1950|pm|pmPA|RV|Sp|Vmag|B-V|trplx|plx|Mv|OtherName|Remarks|_RA.icrs|_DE.icrs
GJ 2010 |00 34 56|-21 10.1| 0.316|229.0|      |DA7         | 14.53| 0.45|      |  62.0|13.49|W285 |                                                                     |00 37 24.9|-20 53 47
NN 3044 |00 35 28|+52 03.6| 0.250|192.0|      |M0          | 10.48| 1.42|      |  44.0| 8.70|     |                                                                     |00 38 15.3|+52 19 53
NN 3045 |00 35 48|+51 11.4| 0.270|277.0|      |m           | 12.60|     |      |  49.0|11.05|     |                                                                     |00 38 33.8|+51 27 54
Gl 26   |00 36 13|+30 20.5| 1.561| 88.3|  -0.2|dM4         | 11.06| 1.53|  79.5|  79.5|10.56|     |AC+31:719                                                            |00 38 59.2|+30 37 01
NN 3046 |00 36 40|+60 16.9| 0.294|211.0|      |m           | 12.83|     |      |  39.0|10.79|     |LTT 10222 Wolf 10                                                    |00 39 32.2|+60 33 09
Gl 27   |00 36 45|+20 58.9| 0.588|231.2| -32.9|K0+ V       |  5.85| 0.85|  95.1|  95.1| 5.74|     |                                                                     |00 39 21.4|+21 15 04
Gl 27.1 |00 37 34|-44 31.5| 0.546|115.5|      |M0.5        | 11.40| 1.49|  31.1|  43.0| 9.57|     |                                                                     |00 39 59.1|-44 15 14
Gl 27.2 |00 38 02|-24 04.4| 0.722|117.0| -50.4|G3 V        |  6.15| 0.71|  40.1|  40.1| 4.17|     |LTT 357                                                              |00 40 33.1|-23 48 13
Gl 28   |00 38 04|+39 55.3| 0.746|152.4| -64.2|K2 Ve       |  7.36| 0.94|  58.5|  58.5| 6.20|     |                                                                     |00 40 48.9|+40 11 12
Gl 29   |00 38 06|-59 44.1| 0.990| 62.8|   1.5|G1 V        |  5.90| 0.56|  56.7|  56.7| 4.67|     |                                                                     |00 40 26.2|-59 27 16
NN 3047 |00 38 16|+31 06.8| 0.319|188.0|      |m           | 13.83|     |      |  53.0|12.45|     |                                                                     |00 40 56.6|+31 22 59
GJ 1015 |00 38 28|+55 33.6| 0.313|104.0|      |m           | 14.02| 1.55|  43.3|  43.3|12.20|     |                                                                     |00 41 20.5|+55 49 59
GJ 1015 |00 38 29|+55 33.7| 0.313|104.0|      |DQ5         | 14.08| 0.02|  43.3|  43.3|12.26|W245 |                                                                     |00 41 21.5|+55 50 05
GJ 2012 |00 38 58|-22 37.2| 0.567|229.0|      |DQ9         | 14.53| 0.62| 100.8| 100.8|14.55|W246 |                                                                     |00 41 25.4|-22 21 04
GJ 1016 |00 39 05|-33 53.9| 0.450|237.0|      |k           | 10.60| 1.40|      |  45.0| 8.87|     |BPM 46556                                                            |00 41 29.4|-33 37 39
GJ 1017 |00 39 45|-52 38.5| 0.736|117.4|      |m           | 12.25|     |  45.7|  45.7|10.50|     |                                                                     |00 42 06.9|-52 22 21
GJ 1018 |00 39 53|-36 59.5| 0.180|293.0|      |m           | 12.65| 1.54|      |  54.0|11.31|     |BPM 46562 LP 937-95                                                  |00 42 17.2|-36 43 00
Gl 29.1 |00 40 05|+35 16.4| 0.266| 70.0|  -0.5|dM0  e      | 10.52| 1.50|  47.2|  47.2| 8.90|V087 |FF And                                                               |00 42 48.3|+35 32 54
Gl 30   |00 40 52|+33 34.6| 0.406|209.3| -34.7|dK5         |  8.73| 1.12|  54.7|  54.7| 7.42|V361 |                                                                     |00 43 33.1|+33 50 43
GJ 1019 |00 40 56|+28 11.1| 1.062|187.0|      |m           | 14.52| 1.59|  51.9|  51.9|13.10|     |                                                                     |00 43 35.9|+28 26 38
NN 3048 |00 41 02|+23 36.9| 0.213|149.9|      |dM0         | 10.97| 1.34|  42.3|  42.3| 9.10|V362 |                                                                     |00 43 41.6|+23 53 10
Gl 31   |00 41 05|-18 15.6| 0.234| 81.0|  13.3|K1 IIIe     |  2.04| 1.01|  54.5|  54.5| 0.72|     |BET Cet                                                              |00 43 35.6|-17 59 09
NN 3049 |00 41 05|-41 33.6| 0.744|222.5|      |M4          | 13.10|     |      | 101.0|13.10|     |LFT 69 LTT 400 L 363-38 LP 989-140                                   |00 43 25.7|-41 17 38
NN 3050 |00 41 36|+75 39.9| 0.395|103.2|  -8.4|G8          |  7.19| 0.75|  23.2|  48.0| 5.60|     |LTT 10255                                                            |00 45 04.6|+75 56 13
NN 3051 |00 41 42|+12 20.8| 0.330|127.0|      |m           | 12.79| 1.49|      |  55.0|11.49|     |LP 465-77 LTT 10259                                                  |00 44 19.4|+12 37 02
NN 3052 |00 41 42|+08 51.2| 0.809| 91.5|      |m           | 13.80|     |      |  81.0|13.30|     |LTT 10257                                                            |00 44 20.5|+09 07 35
Wo 9024 |00 41 58|-26 47.5| 0.345| 62.4|  55.4|G5 V        |  7.79| 0.67|  39.8|  28.0| 5.03|     |LTT 410                                                              |00 44 26.6|-26 30 58
Gl 31.2 |00 42 07|-19 13.4| 0.350| 60.0|  27.0|dM2         | 10.78| 1.44|  56.4|  41.0| 8.84|V088 |                                                                     |00 44 37.5|-18 56 51
Gl 31.2 |00 42 05|-19 13.7| 0.350| 60.0|      |m           | 16.30|     |  56.4|  41.0|14.40|V088B|LP 766-10  sep 34" 239d d(pg) = 5.3, d(R) = 4.9 (NLTT)               |00 44 35.5|-18 57 09
Gl 31.3 |00 42 16|-22 16.8| 0.107|324.6|  13.2|F2 V        |  5.23| 0.34|  46.3|  46.3| 3.60|     |                                                                     |00 44 44.4|-22 00 19
NN 3053 |00 42 29|-15 32.3| 0.662|151.8|      |m           | 14.20|     |      |  72.0|13.50|     |                                                                     |00 45 00.4|-15 16 23
Gl 31.4 |00 42 31|+01 31.2| 0.572|185.3|   9.9|K2 V        |  8.01| 1.00|  43.2|  51.0| 6.55|     |                                                                     |00 45 05.0|+01 47 07
Gl 31.5 |00 42 32|-65 54.8| 0.760|167.0|  97.7|G3 V        |  6.54| 0.65|  50.4|  49.0| 4.99|     |LTT 416                                                              |00 44 39.1|-65 39 01
GJ 1020 |00 42 58|-13 09.1| 0.202|190.9| -12.8|G0 V        |  6.15| 0.61|      |  50.0| 4.64|     |LTT 421 BS 203                                                       |00 45 28.7|-12 52 52
NN 3054 |00 43 12|-51 54.0| 0.094|124.0|      |M3          | 11.91| 1.48|      |  43.0|10.08|     |BPM 16228 Sm 173                                                     |00 45 29.9|-51 37 39
Gl 32   |00 43 25|-42 10.9| 0.312|104.1| -26.3|K5 V        |  8.41| 1.17|  81.4|  81.4| 7.96|     |                                                                     |00 45 48.5|-41 54 34
Gl 32   |00 43 25|-42 10.9| 0.262|114.1| -22.6|K7 V        |  9.06| 1.27|  81.4|  81.4| 8.61|     |                                                                     |00 45 48.2|-41 54 36
GJ 1021 |00 43 25|-47 49.6| 0.202| 65.1| -11.4|G5 IV       |  5.80| 0.64|  48.1|  48.1| 4.20|     |BS  209                                                              |00 45 45.5|-47 33 08
NN 3055 |00 44 27|-26 24.6| 0.286| 47.0|      |M3 :        | 13.98| 1.64|      |  40.0|12.00|     |LTT 442 L 580-29 LP 826-59                                           |00 46 55.0|-26 08 04
NN 3056 |00 44 40|-23 46.8| 0.207|141.0|      |m           | 14.40|     |      |  54.0|13.06|     |                                                                     |00 47 08.4|-23 30 34
Wo 9029 |00 45 08|-37 12.5| 0.393|207.4| -26.0|F7/8 V      |  7.85| 0.54|  40.7|  40.7| 5.90|     |LTT 449                                                              |00 47 30.9|-36 56 26
Wo 9029 |00 45 07|-37 13.4| 0.396|206.0|      |m           | 15.50|     |  40.7|  40.7|13.50|     |L 938-2  sep 57" 193d                                                |00 47 29.9|-36 57 20
Gl 33   |00 45 45|+05 01.4| 1.367|146.4| -10.0|K2 V        |  5.74| 0.88| 135.9| 135.9| 6.41|     |                                                                     |00 48 22.5|+05 16 48
Gl 34   |00 46 03|+57 33.1| 1.213|114.9|   8.2|G3 V        |  3.45| 0.57| 168.4| 168.4| 4.58|     |ETA Cas                                                              |00 49 05.4|+57 49 01
Gl 34   |00 46 03|+57 33.1| 1.213|114.9|  10.5|K7 V        |  7.51| 1.39| 168.4| 168.4| 8.64|     |                                                                     |00 49 05.4|+57 49 01
NN 3057 |00 46 06|+26 45.0| 0.314|209.0|      |M4          | 12.38| 1.52|      |  43.0|10.50|     |LTT 17156                                                            |00 48 46.2|+27 01 07
NN 3058 |00 46 10|+44 18.5| 0.187|127.0|      |m           | 13.06|     |      |  54.0|11.72|     |LP 193-584                                                           |00 48 58.0|+44 34 45
Gl 34.1 |00 46 21|+16 40.3| 0.199|180.8|   3.8|F8 V        |  5.07| 0.51|  45.6|  55.0| 3.77|     |                                                                     |00 48 58.9|+16 56 28
Gl 35   |00 46 31|+05 09.2| 2.980|155.7|  54.0|DZ7         | 12.38| 0.55| 230.9| 230.9|14.20|W005 |van Maanen 2                                                         |00 49 10.1|+05 23 16
NN 3059 |00 46 43|-50 24.9| 0.323|131.0|      |M2          | 10.75| 1.43|      |  48.0| 9.16|     |LTT 464 L 219-8 CFS 223 Sm 174                                       |00 49 01.4|-50 08 44
Gl 36   |00 46 57|-23 29.2| 0.534| 77.8|   5.0|G9 V        |  7.16| 0.78|  62.5|  62.5| 6.14|     |                                                                     |00 49 26.6|-23 12 46
GJ 1022 |00 47 18|-61 17.7| 1.119| 94.0|  -2.0|M6          | 12.16| 1.46|      |  46.0|10.47|     |LTT 471 L 123-30 Sm 176                                              |00 49 34.0|-61 01 26
Gl 37   |00 47 37|-10 54.8| 0.322|225.5|   8.2|F7 IV-V     |  5.17| 0.50|  61.8|  61.8| 4.12|     |PHI(2) Cet BS 235                                                    |00 50 07.3|-10 38 40
NN 3060 |00 47 52|+24 32.7| 0.220|102.0|      |m           | 12.70|     |      |  71.0|12.00|     |LTT 10301 LP 350-20  V(AB) = 12.09 d(m) = 0.3  , V-R = 1.50 Weis     |00 50 33.1|+24 48 59
NN 3061 |00 47 52|+24 32.7| 0.220|102.0|      |m           | 13.30|     |      |  71.0|12.60|     |LP 350-19  sep 1" 315d d(R) = 0.3  d(pg) = 0.3 (NLTT)                |00 50 33.1|+24 48 59
NN 3062 |00 47 54|-27 42.6| 0.166| 65.8|      |A3          |  9.60| 0.89|  40.9|  20.0| 6.11|     |                                                                     |00 50 20.9|-27 26 13
Gl 38   |00 48 23|+58 01.5| 1.549| 75.9| -16.6|dM2         | 10.67| 1.39|  53.5|  53.5| 9.31|     |AC+57:5559 Wolf 33                                                   |00 51 29.5|+58 18 07
Gl 39   |00 48 43|+18 28.3| 0.270|173.3|   6.5|dK6         |  9.24| 1.21|  46.1|  48.0| 7.65|V001 |                                                                     |00 51 21.7|+18 44 23
GJ 2015 |00 48 56|-27 39.5| 0.016|115.6|      |K0          | 10.41| 1.08|  64.9|  21.0| 7.02|     |                                                                     |00 51 22.3|-27 23 12
Gl 40   |00 49 04|-23 10.8| 0.681|114.1|  15.4|K5 V        |  8.96| 1.29|  69.2|  69.2| 8.16|V089 |                                                                     |00 51 33.8|-22 54 44
Gl 40   |00 49 06|-23 10.7| 0.678|113.5|      |m           | 17.30|     |  69.2|  69.2|16.50|V089B|LP 826-170  sep 17" 71d d(pg) = 7.5 d(R) = 7.2 (NLTT)                |00 51 35.8|-22 54 37
Gl 41   |00 50 04|+60 51.0| 0.193|340.5|  20.8|F8 V        |  4.82| 0.53|  64.9|  76.0| 4.22|     |                                                                     |00 53 04.2|+61 07 26
NN 3063 |00 50 06|-41 31.0| 0.059|212.0|      |M3          | 11.92| 1.49|      |  42.0|10.04|     |Sm 177                                                               |00 52 26.6|-41 14 45
Gl 42   |00 50 34|-30 37.7| 0.622| 85.9|  -7.0|K3 V        |  7.17| 0.93|  89.0|  69.0| 6.36|     |                                                                     |00 53 01.4|-30 21 23
GJ 1023 |00 51 05|+68 46.6| 0.094|253.9|      |G0          |  9.70| 0.55|  53.3|  53.3| 8.30|     |ADS  737                                                             |00 54 17.4|+69 02 50
GJ 1023 |00 51 07|+68 46.6| 0.090|250.6|      |            | 10.40| 0.64|  53.3|  53.3| 9.00|     |                                                                     |00 54 19.5|+69 02 50
Gl 42.1 |00 52 19|+23 49.9| 0.249|226.1|  -8.6|G5          |  7.38| 0.65|  49.4|  32.0| 4.91|     |                                                                     |00 54 59.0|+24 06 00
Gl 43   |00 53 10|-52 06.5| 0.470| 41.0|      |m           | 12.36| 1.51|  61.6|  61.6|11.31|     |L 220-80 Sm 178                                                      |00 55 25.4|-51 49 58
NN 3064 |00 53 20|-11 44.1| 0.451|348.0|      |DA7         | 15.25| 0.35|      |  43.0|13.42|W    |LTT 524 L 796-10 LP 706-65                                           |00 55 50.2|-11 27 30
NN 3065 |00 53 23|-29 56.9| 0.452| 64.5|   9.5|K5 V        |  9.48| 1.18|  20.8|  40.0| 7.49|V219 |CP-30:90 LTT 525 RGO 8349  Mich : K4 III ??                          |00 55 49.3|-29 40 30
NN 3066 |00 53 42|+68 46.6| 0.749|107.3| -49.4|K4 V        |  9.10| 1.03|  43.4|  37.0| 6.94|V363 |LTT 10329                                                            |00 57 03.8|+69 02 37
NN 3067 |00 53 54|-28 24.5| 0.160|136.0|      |            | 10.96| 0.96|  43.9|  43.9| 9.20|     |                                                                     |00 56 19.6|-28 08 22
GJ 1024 |00 53 58|+17 11.6| 0.728|113.9|      |m           | 13.71| 1.64|  57.4|  57.4|12.50|     |                                                                     |00 56 39.1|+17 27 34
Gl 44   |00 54 48|-02 05.0| 0.321|238.2| -47.8|K1          |  9.46| 0.86|  70.0|  70.0| 8.69|     |                                                                     |00 57 20.3|-01 48 56
Gl 45   |00 55 10|-62 31.0| 1.035| 82.9|  11.0|K7 V        |  9.50| 1.30|  59.9|  59.9| 8.39|U011 |L 123-59 CD-62:39 Sm 181                                             |00 57 20.1|-62 14 41
Gl 46   |00 55 58|-28 07.3| 1.305|102.7|  43.0|M3.5        | 11.77| 1.57|  71.7|  71.7|11.05|     |                                                                     |00 58 27.8|-27 51 21
GJ 2017 |00 57 26|-25 51.6| 0.050|225.1|      |G0          |  9.87| 0.50|  57.9|  57.9| 8.70|     |                                                                     |00 59 51.5|-25 35 28
Gl 46.1 |00 57 36|+17 55.8| 0.095|167.0| -36.7|G5          |  7.33| 1.07|  50.8|  50.8| 5.90|     |probably no dwarf                                                    |01 00 15.4|+18 11 52
NN 3068 |00 57 38|+66 40.8| 0.270|257.0|      |m           | 13.28|     |      |  45.0|11.55|     |LP 51-17                                                             |01 00 49.4|+66 56 53
GJ 2018 |00 57 51|-25 53.0| 0.426| 95.0|      |K2          |  9.95| 1.11|  55.9|  27.0| 7.11|     |LTT 565                                                              |01 00 18.1|-25 36 53
GJ 2019 |00 58 12|-26 54.3| 0.120|175.3|      |K0          | 10.11| 0.76|  49.9|  49.9| 8.60|     |                                                                     |01 00 37.2|-26 38 15
Gl 47   |00 58 13|+61 06.5| 0.840|158.0|   8.7|dM2.5e      | 10.83| 1.57|  92.4|  92.4|10.66|     |AC+60:3496                                                           |01 01 20.3|+61 21 59
GJ 1025 |00 58 20|-04 43.5| 1.326| 70.5|   8.0|            | 13.32| 1.73|      |  60.0|12.21|     |                                                                     |01 00 56.6|-04 27 00
Gl 48   |00 58 48|+71 25.0| 1.783|101.2|   0.8|dM3.5e      | 10.04| 1.46| 115.5| 115.5|10.35|V364 |AC+71:532                                                            |01 02 32.6|+71 40 49
Wo 9035 |00 59 04|+81 50.0| 0.186|252.2| -50.7|dG2         |  8.45| 0.60|  40.2|  40.2| 6.50|     |                                                                     |01 03 38.7|+82 06 03
NN 3069 |00 59 04|+53 54.8| 0.385|250.0|      |m           | 15.12| 1.84|      |  66.0|14.20|     |                                                                     |01 01 59.8|+54 10 48
GJ 2020 |00 59 24|-26 09.3| 0.088|183.5|      |F0 V        |  9.75| 0.33|  84.9|  84.9| 9.40|     |                                                                     |01 01 49.2|-25 53 15
Gl 49   |00 59 27|+62 04.5| 0.686| 84.3|  -5.6|K5 V        |  9.56| 1.50| 112.6| 112.6| 9.82|V002 |LFT 94 Wolf 46                                                       |01 02 39.0|+62 20 40
Gl 50   |00 59 27|-10 08.9| 0.566|202.2|  -0.4|K5 V        | 10.50| 1.25|  42.6|  29.0| 7.81|U014 |                                                                     |01 01 57.0|-09 53 13
NN 3070 |00 59 29|-26 01.9| 0.130| 38.0|      |            | 11.84| 1.23|  41.9|  41.9|10.00|     |RGO 2913                                                             |01 01 54.6|-25 45 42
NN 3071 |00 59 48|+04 47.4| 0.386| 54.7|  19.7|K0          |  8.20| 1.00|  20.9|  43.0| 6.37|     |LTT 10369                                                            |01 02 24.3|+05 03 42
NN 3072 |00 59 54|-10 41.0| 0.131|357.0| -20.0|K7 V        | 10.04| 1.35|  19.5|  49.0| 8.49|V003 |U 15                                                                 |01 02 24.5|-10 24 47
Gl 51   |01 00 08|+62 05.8| 0.727| 82.5|      |M5          | 13.66| 1.68| 110.9| 110.9|13.88|     |Wolf 47  cpm with Gl 49 ?                                            |01 03 20.7|+62 21 58
NN 3073 |01 00 28|+31 24.9| 0.269| 85.0|      |m           | 13.64|     |      |  44.0|11.86|     |LP 294-40                                                            |01 03 13.7|+31 41 01
GJ 1026 |01 00 32|+19 49.8| 0.644| 86.2|      |M1.5        | 11.88|     |  58.5|  58.5|10.72|     |LP 406-76 L 1229-11 LDS 873  V(AB) = 11.35  d(m) = 0.5 :             |01 03 14.5|+20 05 56
GJ 1026 |01 00 32|+19 49.8| 0.644| 86.2|      |M3.5        | 12.40|     |  58.5|  58.5|11.20|     |LP 406-77  sep 2" 28d (LHS)                                          |01 03 14.5|+20 05 56
GJ 1027 |01 01 14|+04 48.3| 0.388| 52.0|  61.0|DA6         | 13.96| 0.31|  46.8|  46.8|12.31|W  7 |                                                                     |01 03 50.3|+05 04 35
Wo 9036 |01 01 59|-25 52.1| 0.338|185.7|   2.8|K5 V        |  9.80| 1.19|  40.7|  35.0| 7.52|V220 |LTT 606                                                              |01 04 23.9|-25 36 18
GJ 1028 |01 02 21|-18 23.9| 1.342| 71.5|      |m           | 14.46| 1.87| 100.0| 100.0|14.46|     |                                                                     |01 04 53.2|-18 07 29
Wo 9037 |01 02 22|-39 44.9| 0.549|196.9|  22.4|G3 IV       |  7.72| 0.60|  42.1|  42.1| 5.84|     |LTT 610                                                              |01 04 39.9|-39 29 16
GJ 1029 |01 02 47|+28 13.6| 1.906| 95.0|      |m           | 14.80| 1.89|  79.6|  79.6|14.30|     |                                                                     |01 05 37.9|+28 29 30
Gl 52   |01 03 45|+63 40.2| 1.576| 77.9|   2.9|K7 V        |  8.98| 1.30|  67.2|  67.2| 8.12|V365 |                                                                     |01 07 08.7|+63 56 30
GJ 1030 |01 04 03|+15 00.5| 0.320|199.0|      |k-m         | 11.43| 1.47|  63.4|  63.4|10.44|     |                                                                     |01 06 41.5|+15 16 16
Gl 52.1 |01 04 35|-51 15.5| 0.497| 88.6|   8.7|K1 V        |  8.85| 0.94|  47.0|  47.0| 7.21|     |                                                                     |01 06 48.0|-50 59 28
NN 3074 |01 04 52|-32 41.6| 0.180|176.0|      |m           | 10.76| 1.38|      |  42.0| 8.88|     |L 509-35                                                             |01 07 13.7|-32 25 44
Gl 53   |01 04 56|+54 40.5| 3.770|114.7| -98.1|G5 VI       |  5.17| 0.69| 134.5| 134.5| 5.81|     |MU Cas LTT 10400                                                     |01 08 16.7|+54 55 11
Gl 53   |01 04 56|+54 40.5| 3.770|114.7|      |            | 11.00|     | 134.5| 134.5|12.00|     |                                                                     |01 08 16.7|+54 55 11
Gl 52.2 |01 04 56|+33 56.1| 1.464| 69.9|      |M3          | 13.35| 1.59|  44.5|  44.5|11.59|     |Ross 322                                                             |01 07 48.2|+34 12 31
Gl 53.1 |01 04 56|+22 41.7| 0.500|168.2|   6.7|K4 V        |  8.41| 1.12|  52.1|  47.0| 6.77|V367 |                                                                     |01 07 38.2|+22 57 18
Gl 53.1 |01 04 56|+22 41.7| 0.500|168.2|      |M3          | 13.60|     |  52.1|  47.0|11.96|     |                                                                     |01 07 38.2|+22 57 18
GJ 1031 |01 05 52|-29 04.3| 0.714|100.4|      |dM5         | 13.42| 1.70|      |  76.0|12.82|     |                                                                     |01 08 17.8|-28 48 25
Gl 53.2 |01 06 01|+16 59.1| 0.583|187.6| -36.0|dK6         | 10.55| 1.27|  45.0|  31.0| 8.01|     |                                                                     |01 08 40.5|+17 14 36
NN 3075 |01 06 04|-10 26.8| 0.252|122.3|  12.9|K1.5 III    |  3.45| 1.16|  40.6|  40.6| 1.49|     |FK  40 LTT 645 ETA Cet                                               |01 08 35.0|-10 10 56
Wo 9043 |01 06 35|-31 11.7| 0.223|125.3|   7.9|G8/K0 V     |  9.10| 0.79|  39.7|  21.0| 5.71|     |LTT 646                                                              |01 08 57.7|-30 55 50
GJ 1032 |01 06 47|-24 57.4| 0.255| 86.0|      |dM2         | 12.38| 1.53|      |  52.0|10.96|     |PS 130 LP 826-605 TS 335                                             |01 09 12.7|-24 41 25
GJ 2021 |01 06 53|-24 46.3| 0.265|132.0|      |m           | 14.52|     |      |  65.0|13.58|     |PS 131 LP 826-603 TS 336                                             |01 09 18.5|-24 30 29
Gl 53.3 |01 06 55|+35 21.4| 0.208|121.6|  -0.8|M0 IIIe     |  2.05| 1.57|  48.7|  48.7| 0.49|     |BET And                                                              |01 09 43.5|+35 37 16
Gl 54   |01 08 34|-67 43.1| 0.718| 34.0|  26.1|k           |  9.80| 1.54| 120.9| 120.9|10.21|     |                                                                     |01 10 22.9|-67 26 40
NN 3076 |01 08 46|+15 10.5| 0.215|125.0|      |m           | 14.36|     |      | 118.0|14.72|     |LP 467-16 L 1157-47 LTT 10436                                        |01 11 25.9|+15 26 19
NN 3077 |01 09 19|+04 39.6| 0.623|146.4|      |m           | 12.89| 1.62|  64.6|  64.6|11.94|     |G070-043 LTT 10438                                                   |01 11 55.6|+04 55 05
NN 3078 |01 09 21|+04 38.6| 0.623|146.4|      |m           | 13.91| 1.70|  64.6|  64.6|12.96|     |sep 63.5" 146d                                                       |01 11 57.6|+04 54 05
NN 3079 |01 09 55|-02 07.3| 0.050|180.0|      |DAwk        | 14.09|     |      |  99.0|14.07|W    |GD 806                                                               |01 12 28.1|-01 51 26
Gl 54.1 |01 09 59|-17 16.4| 1.345| 62.3|  28.0|dM5  e      | 12.05| 1.84| 267.4| 267.4|14.19|     |LTT 670 L 725-32                                                     |01 12 30.6|-16 59 59
NN 3080 |01 10 13|+41 23.4| 0.324| 96.4|      |G5          |  7.28| 0.78|      |  47.0| 5.64|     |LTT 10444                                                            |01 13 06.4|+41 39 15
